Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2025-12-29,1410.8846435546875,1423.645661751019,1406.1990237393643,1419.6578587769266,235094
2025-12-30,1408.69140625,1416.5673414950495,1400.715800269816,1410.884649215315,466114
2025-12-31,1420.55517578125,1425.6396003660138,1406.4981942711056,1408.6914372847395,217229
2026-01-01,1413.177734375,1428.5308007670878,1409.4890651585142,1426.2377652878063,320747
2026-01-02,1435.5093994140625,1441.1919699708326,1413.3770198970826,1420.1563336297984,256390
2026-01-05,1446.974365234375,1457.7413604817896,1426.7362160176135,1435.60910216925,454648
2026-01-06,1497.120849609375,1501.4077863905213,1439.5968416652806,1453.5541517645286,1346661
2026-01-07,1491.6376953125,1508.1871754742506,1480.4718953533816,1499.3142892702247,421633
2026-01-08,1479.17578125,1494.4291764264506,1465.0191292586185,1491.9367995478208,761222
2026-01-09,1460.4332275390625,1510.0813035538142,1456.744436620119,1474.689550728652,1297815
2026-01-12,1445.9774169921875,1458.7383137926602,1433.5155324030004,1456.5450707841999,1832938
2026-01-13,1427.3343505859375,1452.5572534255487,1415.6700754044468,1448.5694503962404,684472
2026-01-14,1432.7178955078125,1443.8838169034605,1413.7758312971791,1415.6700620578604,788769
2026-01-15,1432.7178955078125,1432.7178955078125,1432.7178955078125,1432.7178955078125,0
2026-01-16,1421.75146484375,1442.9865648655332,1415.6700895031086,1432.6182525464556,406281
2026-01-19,1442.6873779296875,1449.566362310531,1415.8693789365946,1422.150217218688,1337059
2026-01-20,1342.19482421875,1450.064845147608,1333.1224751649595,1421.6517491787479,4182464
2026-01-21,1311.9871826171875,1344.4877526189985,1290.353400093693,1335.9140005372578,2232518
2026-01-22,1307.800048828125,1350.868272756323,1302.615831884302,1320.9597501122714,808021
2026-01-23,1287.0,1324.0,1280.0,1324.0,783770
2026-01-27,1288.9000244140625,1294.800048828125,1263.4000244140625,1289.0,1086332
2026-01-28,1286.800048828125,1296.5999755859375,1281.0,1290.0,802524
2026-01-29,1273.9000244140625,1286.800048828125,1257.9000244140625,1285.0,1124235
2026-01-30,1285.0,1291.800048828125,1258.5999755859375,1266.0999755859375,2002060
2026-02-02,1278.5,1282.800048828125,1250.0999755859375,1275.0,823663
2026-02-03,1318.0,1335.0999755859375,1305.4000244140625,1309.0,1080071
2026-02-04,1344.199951171875,1358.9000244140625,1307.0,1324.0,410223
2026-02-05,1350.199951171875,1352.9000244140625,1332.0,1349.800048828125,392787
2026-02-06,1355.0,1357.5,1326.0999755859375,1350.9000244140625,417229
2026-02-09,1371.9000244140625,1380.800048828125,1346.0,1358.0,482069
2026-02-10,1373.0999755859375,1390.5999755859375,1367.199951171875,1379.0999755859375,418360
2026-02-11,1383.800048828125,1388.800048828125,1365.0,1374.0999755859375,472510
2026-02-12,1400.5,1405.0,1371.800048828125,1379.0,568421
2026-02-13,1404.0,1419.0,1378.4000244140625,1391.0999755859375,774193
2026-02-16,1420.699951171875,1428.5,1396.199951171875,1404.0,369629
2026-02-17,1434.4000244140625,1438.699951171875,1413.9000244140625,1417.0999755859375,305464
2026-02-18,1434.800048828125,1442.300048828125,1425.0,1437.5,388023
2026-02-19,1396.0999755859375,1438.9000244140625,1392.300048828125,1434.0,270597
2026-02-20,1412.9000244140625,1416.4000244140625,1396.300048828125,1399.0,543595
2026-02-23,1412.800048828125,1423.9000244140625,1402.0,1420.0,221863
2026-02-24,1403.800048828125,1417.800048828125,1392.5999755859375,1410.0,273019
2026-02-25,1417.5999755859375,1420.5999755859375,1395.5,1411.199951171875,1008679
2026-02-26,1413.699951171875,1426.0,1403.0999755859375,1417.5999755859375,312149
2026-02-27,1397.0999755859375,1417.0,1390.0999755859375,1414.9000244140625,1498208
2026-03-02,1354.0,1383.5999755859375,1333.699951171875,1360.0,861596
2026-03-04,1318.699951171875,1340.0,1314.0999755859375,1332.0,932884
2026-03-05,1352.5,1359.300048828125,1327.199951171875,1334.0,320753
2026-03-06,1349.199951171875,1365.0,1340.300048828125,1352.5,489820
2026-03-09,1331.4000244140625,1336.9000244140625,1301.4000244140625,1336.9000244140625,872333
2026-03-10,1358.0,1382.4000244140625,1338.4000244140625,1348.0,1530785
2026-03-11,1365.5,1404.5999755859375,1359.800048828125,1363.0,755141
2026-03-12,1354.0,1364.5999755859375,1334.5,1355.199951171875,853612
2026-03-13,1310.199951171875,1353.199951171875,1303.5,1340.9000244140625,1599343
2026-03-16,1297.300048828125,1316.9000244140625,1273.0,1310.0,963287
2026-03-17,1317.0999755859375,1321.800048828125,1291.5,1300.0,849515
2026-03-18,1343.9000244140625,1349.199951171875,1311.300048828125,1317.800048828125,1048399
2026-03-19,1294.300048828125,1335.800048828125,1290.0,1323.800048828125,506987
2026-03-20,1281.199951171875,1314.5999755859375,1278.0,1301.0999755859375,811006
2026-03-23,1231.0,1271.9000244140625,1217.199951171875,1270.0,835568
2026-03-24,1234.199951171875,1261.0,1221.0,1249.4000244140625,561103
2026-03-25,1268.4000244140625,1300.0,1240.5999755859375,1251.199951171875,1256831
2026-03-27,1231.5999755859375,1274.9000244140625,1226.300048828125,1268.4000244140625,5656981
2026-03-30,1190.5999755859375,1224.699951171875,1184.0999755859375,1210.9000244140625,1632810
2026-04-01,1185.9000244140625,1227.4000244140625,1175.5999755859375,1218.0,962738
2026-04-02,1180.5999755859375,1186.5,1142.5,1170.0999755859375,967015
2026-04-06,1206.5999755859375,1209.0,1164.0999755859375,1188.4000244140625,693409
2026-04-07,1234.0999755859375,1236.699951171875,1186.300048828125,1200.0,1033027
2026-04-08,1246.4000244140625,1278.0,1240.0,1278.0,755940
2026-04-09,1257.0,1266.699951171875,1234.4000244140625,1249.9000244140625,1025061
2026-04-10,1281.699951171875,1284.0,1258.300048828125,1267.699951171875,698587
2026-04-13,1273.9000244140625,1281.699951171875,1229.0,1258.4000244140625,954294
2026-04-15,1285.199951171875,1300.800048828125,1258.699951171875,1285.0,1086325
2026-04-16,1291.0999755859375,1308.0,1272.0999755859375,1297.0,992284
2026-04-17,1306.4000244140625,1314.800048828125,1285.199951171875,1291.9000244140625,770722
2026-04-20,1302.0999755859375,1318.300048828125,1291.0999755859375,1312.800048828125,639788
